नहीं,['टाटा' 'बचपन' 'पट']
अदालत,['रुक' 'पीटकर' 'पीट']
PulwamaAttack,['PulwamaTerroristAttack' 'पुलवामा_हमला' 'पुलवामा_घात']
कदम,['नव' 'हैक' 'चलना']
सीधे,['घुमा' 'फिरा' 'घायल']
देशभक्ति,['80' 'डॉलर' 'लुभाने']
आतंकियों,['अनंतनाग' 'सरपंच' 'चुन']
पिता,['कहावत' 'शादी' 'केसीआर']
India,['निकली' 'Nation' 'नुक़सान']
उम्मीद,['युवा' 'पूंछ' 'पटियाला']
वन,['रैंक' 'पेंशन' 'सेंट्रल']
ताकि,['समझाए' 'पडता' 'Dhoni']
तुम्हारी,['भेद' 'जानने' 'बुला']
बल्कि,['भेदभाव' 'इस्लामी' 'हों']
हिंदुस्तान,['सेकुलुरों' 'अरबों' 'मई']
पी,['एम' 'चिड़िया' 'देहरादून']
डोनाल्ड,['मौसा' 'मारी' 'आरहा']
नंबर,['इंसान' 'कंप्यूटर' 'कट्टर']
ऑफ,['इयर' 'टाईम' 'पर्सन']
खुले,['शौच' 'भिया' 'गुस्से']
मुश्किल,['नामुमकिन' 'इजराइल' 'कानपुर']
क्षेत्र,['राष्ट्र' 'निर्यात' 'बुनियाद']
500,['राष्ट्रवादियों' 'नोट' 'कार्य']
टी,['कप' 'ग्रीन' 'साधना']
खड़े,['जवाब' 'जहां' 'होंगे']
अफगानिस्तान,['बनाएंगे' 'कूटनीतिक' 'अफगानों']
सलाम,['ज़िंदा' 'निकलता' 'जज्बे']
सुप्रीम,['कोर्ट' 'याहू' 'टेस्टिंग']
बोला,['रोज' 'पेठा' 'शर्मिंदा']
आखिर,['चर्चा' 'विमर्श' 'दुर्भाग्य']
लड़,['अकेला' 'संजीवनी' 'bycottchina']
लंबी,['शुभरात्रि' 'यादें' 'बिछड़']
राष्ट्रीय,['जेपी' 'नड्डा' 'यूनिवर्सिटी']
जिसने,['FeedTheNeedy' 'लटकने' 'आंदोलन']
पड़ी,['समझदार' 'चालीसा' 'गायत्री']
सबके,['लक्ष्य' 'मेक' 'गूगल']
गोली,['विदेश' 'ग़ज़ब' 'GROUND']
वतन,['आजाद' 'दिखाया' 'रहने']
युद्ध,['कब्जा' 'चीन' 'खुलती']
पड़ा,['लूं' 'सच' 'सीजन']
रहता,['दोषी' 'वध' 'योग्य']
💐,['रवि' 'कहिएगा' 'नमस्ते']
लें,['चौकोर' 'इसमे' 'गोल']
👍,['👏' 'बनाएगी' 'पवित्र']
टेस्ट,['चलवाकर' 'देखनी' 'रुकवाकर']
शत्,['बुनियाद' 'बलिदानों' 'गंवा']
भाषा,['आरक्षित' 'चीफ' 'उद्घाटन']
कितनी,['साफ़' 'knowledge' 'मुजरे']
ब्रेकिंग,['न्यूज' 'नाभि' 'LAC']
लाईन,['जिनका' 'झूठे' 'खाता']
मुझसे,['औरों' 'पड़ा' 'भिखारी']
यादव,['जाति' 'नम्बरी' 'DG']
तोड़,['लड़कों' 'बुलाते' 'तुम्हे']
अल्लाह,['मानने' 'माशाल्लाह' 'आस']
समाज,['बोलती' 'सपाट' 'बुद्धिमान']
चलेगा,['खुजाने' 'चबाइए' 'दिसंबर']
सा,['कहने' 'आएंगे' 'गिरी']
केवल,['सोना' 'कमिश्नर' 'डिप्टी']
निर्भर,['रविश' 'सौगात' 'मूत्र']
सर,['मोह' 'ग्राहक' 'कढ़ा']
चमचों,['ले' 'भरोसा' 'दुगने']
मोदीजी,['हिंदु' 'गुलामी' 'मुर्ख']
खूब,['क्रिसमस' 'छुट' 'कालेधनी']
अर्थव्यवस्था,['मार्किट' 'आईएचएस' 'प्रदाता']
मिले,['पूजे' 'हरि' 'पूजूँ']
पब्लिक,['लिखने' 'गाली' 'बातो']
होनी,['ramrahimverdict' 'दलितों' 'रहीम']
करा,['लाखों' 'narendramodi' 'जहर']
मेट्रो,['चरमरा' 'लोड' 'सफर']
लाखों,['करा' 'narendramodi' 'त्यागे']
गले,['पडने' 'जायेगा' 'CongBachaoRahulHatao']
भाव,['भेद' 'जिन्दगी' 'ऐ']
जाये,['गंजा😝' 'पंजा' 'खुल']
लेने,['बाली' 'नहाने' 'कमीना']
फैला,['मर्ज़ी' 'बङा' '71']
साहब,['आग' 'युवक' 'मशक्कत']
दवा,['हरकतें' 'साइंस' 'नंबर']
आना,['पृथ्वी' 'अम्बानी' 'गरीबों']
वाह,['RobertVadra' 'अनुपम' 'मजा']
क्यो,['पहुँचती' 'फरियाद' 'गंदी']
खा,['महानता' 'आपस' 'धन्य']
कुत्ता,['प्रकृति' 'पहुंचाकर' 'कोठरी']
भड़वे,['भड़वा' 'बुढऊ' 'माफी']
द्वीप,['हैवलॉक' 'स्वराज' 'Big']
उर,['उर्मिला' 'खनके' 'खिलखिला']
बाग,['शाहीन' 'शवों' 'पंजाबी']
6,['दोपहर' 'बुढ्ढे' 'कुंठा']
सुख,['सर्वेरे' 'जानवर' 'चिडियां']
भारी,['ताईवान' 'गिरावट' 'हैंगसेंग']
बारिश,['mask' 'waterproof' 'Dear']
कुमार,['रवीश' 'अग्निकांडः' 'बनाना']
भ्रष्टाचार,['बोले' 'दोषारोपण' 'जिक्र']
फर्जी,['पडे' 'उम्रकैद' 'जोधपुर']
कबूल,['पडता' 'Dhoni' 'औरंगजेब']
धमकी,['डरावनी' 'दुंगा' 'वरना']
छोड़ने,['गंदी' 'बंगलादेश' 'नामो']
उड़ा,['संगठन' 'एयरपोर्ट' 'Balakot']
संकट,['बल' 'सूद' 'सोनू']
गुजरात,['कन्याकुमारी' 'कच्छ' 'भाजपा_का_विजयरथ']
बनाए,['रखिए' 'आभार' 'दंगल']
मारा,['गाल' 'अनुपम' 'मजा']
तैयारी,['सुसुदिया' 'गंधें' 'झूलेलाल']
पाकिस्तानी,['बालाकोट' 'Air' 'जुबानी']
8,['rate' 'interest' 'प्रतिशत']
जाएंगे,['लक्ष्य' 'मेक' 'आयात']
टिकट,['break' 'अग्रवाल' 'नरेश']
सरहद,['बढ़ाई' 'चौकसी' 'कोहरे']
मुम्बई,['दीदी' 'आरोप' 'धड']
ट्रेन,['वजह' 'ट्रेनों' 'रखता']
संवाददाता,['इलाकों' 'रैली' 'FarmersOnWarpath']
छोटे,['माई' 'शुक्र' 'करेंगे']
बताया,['जाहिल' 'घुसा' 'दंगे']
बातों,['छेद' 'जिनसे' 'गर्माहट']
राफेल,['चादर' 'तेल' 'बोलता']
शिवसेना,['दलों' 'लाजमी' 'Motion']
बनाया,['सेवक' 'सम्रद्धि' 'V']
समर्पित,['उड़ीसा' 'बालाशौर' 'तपस्वी']
बरामद,['ज़र्दा' 'संस्थान' 'तुलसी']
होली,['nagrotaattack' 'ISI' 'उच्चायोग']
12,['आतंकवादियों' 'उतारने' 'शूरवीरों']
पार्क,['नम्बर' 'महिलाओं' 'कॉरपोरेशन']
समेत,['महीने' 'युवक' 'लगाई']
गार्ड,['महिलाएं' 'आँफ' 'रेल']
घाट,['श्मशान' 'MaharastraCovid' 'शवों']
लद्दाख,['कन्याकुमारी' '19000' 'हित']
जोर,['हवालात' 'रूझान' 'शुरुआती']
धीरे,['चुना' 'बारी' 'प्रवीण']
संख्या,['150' 'हजारों' 'बाढ़']
संपत्ति,['फूंकी' 'जौनपुर' 'बस्ती']
नेताओं,['खुलासा' 'ओबामा' 'बराक']
लखनऊ,['बगदादी' 'दाऊद' 'किम_जोंग']
सबको,['SambitSwaraj' 'चलना' 'हिल']
रास्ते,['SambitSwaraj' 'चलना' 'बदलाम']
कितने,['आश्चर्यजनक' 'साजिस' 'समझे']
रामकिशन,['बाबा' 'मोहताज' 'ज्योंही']
26,['जनवरी' 'प्लानिंग' 'इंटरसेप्ट']
कार्ड,['फिल्मो' 'निकालना' 'बेन']
कार्य,['दुरुह' '500' 'संकल्प']
मिनट,['भैया' 'AK' 'मित्रगण']
हासन,['गौतमी' 'तडि़मल्\u200dला' 'करीब']
कालेधन,['शोर' 'विपक्ष' 'SoSorry']
भुगतान,['बैंकिंग' 'फेस्टीवल' 'कैशलैस']
सत्ता,['बनकर' 'पूछता' 'मिस्री']
;,['थक' 'मुसाफिर' 'बैठ']
बनाकर,['इस्लाम' 'SCAM' 'हावी']
एकता,['पार्टियाँ' 'देखेंगी' 'धडा़म']
देशवासियों,['71वें' 'दंगो' 'Greetings']
महिला,['ArrestAlkaLamba' 'अभद्र' 'तरहा']
संस्कृति,['जयश्रीराम' 'अफजल' 'खतरे']
स्थिति,['delhipollution' 'AirPollution' 'समीक्षा']
माननीय,['पहुचाया' 'बिखर' 'बाबर']
